Time,humidity,temperature,light level
"07/31/24 11:13:00 AM",33,24.1,780
"07/31/24 11:12:00 AM",33,24.5,766
"07/31/24 11:10:00 AM",34,24.8,770
"07/31/24 11:09:00 AM",34,24.8,763
"07/31/24 11:08:00 AM",34,24.5,764
"07/31/24 11:07:00 AM",34,24.1,779
"07/31/24 11:06:00 AM",34,24.5,750
"07/31/24 11:05:00 AM",34,24.5,748
"07/31/24 11:04:00 AM",34,24.5,749
"07/31/24 11:03:00 AM",34,24.5,748
"07/31/24 11:02:00 AM",34,24.5,754
"07/31/24 11:01:00 AM",34,24.5,756
"07/31/24 11:00:00 AM",34,24.5,759
"07/31/24 10:59:00 AM",34,24.3,757
"07/31/24 10:58:00 AM",34,24.1,750
"07/31/24 10:57:00 AM",34,24.2,753
"07/31/24 10:56:00 AM",34,24.5,746
"07/31/24 10:55:00 AM",34,24.5,754
"07/31/24 10:54:00 AM",34,24.5,746
"07/31/24 10:53:00 AM",35,24.5,758
"07/31/24 10:52:00 AM",34,24.5,741
"07/31/24 10:51:00 AM",35,24.8,746
"07/31/24 10:50:00 AM",35,25.3,744
"07/31/24 10:49:00 AM",42,25.8,743
"07/31/24 10:48:00 AM",53,25.8,785
"07/31/24 10:47:00 AM",35,23.8,776
